id,j,j_err,history_id
2,0.0007756,0.00000064405,2
3,0.0007766,0.00000071436,3
4,0.0007749,0.00000054847,4
5,0.0007727,0.00000074113,5
6,0.0007714,0.00000051795,6
7,0.0007725,0.00000050976,7
8,0.0007764,0.0000004884,8
9,0.000776,0.00000042056,9
10,0.0007736,0.00000048623,10
11,0.0007715,0.00000046945,11
12,0.0007719,0.00000036511,12
13,0.0007743,0.000000442,13
14,0.000774,0.00000041085,14
15,0.0007738,0.00000041482,15
16,0.0007721,0.00000046776,16
17,0.0007704,0.00000047924,17
18,0.0007707,0.00000044885,18
19,0.0007725,0.00000043881,19
20,0.0007731,0.0000005455,20
21,0.0007744,0.00000051698,21
22,0.000773,0.00000070514,22
23,0.0007713,0.00000054775,23
24,0.0007702,0.00000074772,24
25,0.0007715,0.00000062669,25
26,0.0007719,0.00000055208,26
27,0.0007723,0.00000051047,27
28,0.0007718,0.00000051201,28
29,0.0007707,0.00000048062,29
30,0.0007703,0.0000004173,30
31,0.0007708,0.00000050627,31
32,0.0007726,0.00000068199,32
33,0.0007709,0.00000083855,33
34,0.0007729,0.00000071187,34
35,0.0007715,0.00000065642,35
36,0.0007701,0.0000005734,36
37,0.0007698,0.00000066737,37
38,0.0007625,0.000001522,38
39,0.0007627,0.00000060175,39
40,0.0007642,0.00000097659,40
41,0.0007634,0.00000064419,41
42,0.0007624,0.0000015525,42
43,0.0007627,0.00000058995,43
44,0.0007626,0.0000005745,44
45,0.000761,0.00000051436,45
46,0.0007591,0.00000097325,46
47,0.0007589,0.00000045388,47
48,0.0007581,0.00000058071,48
49,0.0007573,0.00000044685,49
50,0.0007567,0.00000083439,50
51,0.0007577,0.00000053559,51
52,0.0007587,0.00000075651,52
53,0.0007599,0.00000063443,53
54,0.0007275,0.000000911,54
55,0.00071918,0.00000050155,55
56,0.000729,0.00000082985,56
57,0.00071912,0.00000057566,57
58,0.000727,0.00000094919,58
59,0.000727,0.00000059066,59
60,0.0007272,0.00000070593,60
61,0.0007273,0.00000055238,61
62,0.0007259,0.00000058733,62
63,0.0007274,0.00000051858,63
64,0.0007268,0.00000068585,64
65,0.0008065,0.000000595731,65
66,0.00079725,0.00000054558,66
67,0.000805,0.00000109412,67
68,0.00079708,0.00000059691,68
69,0.0008073,0.000000514628,69
70,0.00079857,0.00000052253,70
71,0.0008064,0.000000489965,71
72,0.00080099,0.00000037547,72
73,0.0008068,0.000000525856,73
74,0.00080313,0.00000028515,74
75,0.0008093,0.000000464181,75
76,0.00080451,0.00000032271,76
77,0.0008101,0.000000475963,77
78,0.00080469,0.00000038297,78
79,0.0008097,0.000000882914,79
80,0.00080319,0.00000036123,80
81,0.0008069,0.000000486002,81
82,0.00080077,0.0000003614,82
83,0.0008047,0.000000496206,83
84,0.00080588,0.00000035241,84
85,0.0008126,0.000000503017,85
86,0.00080682,0.00000028912,86
87,0.0008119,0.000000650755,87
88,0.00080711,0.00000027865,88
89,0.000813,0.000000487711,89
90,0.00080866,0.00000028291,90
91,0.0008146,0.000000846969,91
92,0.00081069,0.00000030593,92
93,0.0008169,0.000000507615,93
94,0.00081219,0.0000003144,94
95,0.0008182,0.000000742541,95
96,0.00081292,0.00000030945,96
97,0.0008181,0.000000532276,97
98,0.00081263,0.00000030433,98
99,0.000817,0.000000468753,99
100,0.00081108,0.00000030584,100
101,0.0008152,0.000000521022,101
102,0.00081447,0.00000032277,102
103,0.0008139,0.000000696456,103
104,0.00081297,0.00000031436,104
105,0.00078805,0.0000011942,105
106,0.0007901,0.0000011352,106
107,0.00079321,0.0000015026,107
108,0.00079439,0.0000014544,108
109,0.00079233,0.00000082232,109
110,0.00078923,0.00000098315,110
111,0.0007882,0.00000139917,111
112,0.0007885,0.00000185086,112
113,0.0007924,0.00000145281,113
114,0.0007931,0.00000259493,114
115,0.0007938,0.00000119234,115
116,0.0007913,0.000000850294,116
117,0.00079462,0.00000077717,117
118,0.00079595,0.0000006208,118
119,0.00079813,0.00000049807,119
120,0.00079908,0.000000482,120
121,0.00079775,0.00000046392,121
122,0.00079557,0.00000067333,122
123,0.0007946,0.00000108915,123
124,0.0007952,0.00000117165,124
125,0.0007973,0.000000638155,125
126,0.0007981,0.00000057053,126
127,0.0007989,0.000000607523,127
128,0.000797,0.000000716323,128
129,0.00079696,0.00000070712,129
130,0.00079804,0.00000075582,130
131,0.00080095,0.00000070573,131
132,0.00080301,0.00000073147,132
133,0.00080192,0.00000065153,133
134,0.00079901,0.0000005602,134
135,0.0007977,0.000000604907,135
136,0.0007973,0.00000123553,136
137,0.0007993,0.00000112146,137
138,0.0008017,0.000000745221,138
139,0.0008032,0.0000012269,139
140,0.0008007,0.000000700984,140
141,0.00082837,0.00000078844,141
142,0.000829,0.00000057131,142
143,0.00083098,0.00000057846,143
144,0.0008325,0.00000058104,144
145,0.00082647,0.00000052355,145
146,0.000829,0.00000127223,146
147,0.0008277,0.000000932857,147
148,0.0008306,0.000000733309,148
149,0.0008316,0.000000731744,149
150,0.0008319,0.000000803102,150
151,0.0008318,0.00000067813,151
152,0.0007801,0.00000061225,152
153,0.0007803,0.00000062989,153
154,0.0007784,0.00000067541,154
155,0.0007762,0.00000050811,155
156,0.000776,0.00000049288,156
157,0.0007778,0.00000063791,157
158,0.0007789,0.00000092587,158
159,0.0007804,0.00000068681,159
160,0.0007807,0.0000012051,160
161,0.0007757,0.00000061238,161
162,0.0007771,0.00000060701,162
163,0.000776,0.00000079622,163
164,0.0007732,0.0000005805,164
165,0.0007726,0.00000054028,165
166,0.0007703,0.0000006409,166
167,0.0007685,0.00000078468,167
168,0.0007691,0.00000076254,168
169,0.0007727,0.00000073709,169
170,0.0007726,0.00000073526,170
171,0.0007723,0.00000081202,171
