id,position,x,y,z,is_degas,extraction_id,"load_identifier"
196,99,NULL,NULL,NULL,NULL,557,NULL
197,100,NULL,NULL,NULL,NULL,559,NULL
198,101,NULL,NULL,NULL,NULL,560,NULL
199,102,NULL,NULL,NULL,NULL,561,NULL
200,103,NULL,NULL,NULL,NULL,563,NULL
201,104,NULL,NULL,NULL,NULL,564,NULL
202,105,NULL,NULL,NULL,NULL,566,NULL
203,25,NULL,NULL,NULL,NULL,567,NULL
204,25,NULL,NULL,NULL,NULL,570,NULL
205,26,NULL,NULL,NULL,NULL,572,NULL
206,26,NULL,NULL,NULL,NULL,573,NULL
207,27,NULL,NULL,NULL,NULL,574,NULL
208,28,NULL,NULL,NULL,NULL,576,NULL
209,29,NULL,NULL,NULL,NULL,577,NULL
210,30,NULL,NULL,NULL,NULL,578,NULL
211,106,NULL,NULL,NULL,NULL,579,NULL
212,107,NULL,NULL,NULL,NULL,581,NULL
213,108,NULL,NULL,NULL,NULL,582,NULL
214,109,NULL,NULL,NULL,NULL,583,NULL
215,110,NULL,NULL,NULL,NULL,585,NULL
216,112,NULL,NULL,NULL,NULL,586,NULL
217,113,NULL,NULL,NULL,NULL,588,NULL
218,114,NULL,NULL,NULL,NULL,589,NULL
219,115,NULL,NULL,NULL,NULL,590,NULL
220,116,NULL,NULL,NULL,NULL,592,NULL
221,117,NULL,NULL,NULL,NULL,593,NULL
222,118,NULL,NULL,NULL,NULL,595,NULL
223,119,NULL,NULL,NULL,NULL,596,NULL
224,120,NULL,NULL,NULL,NULL,597,NULL
225,121,NULL,NULL,NULL,NULL,599,NULL
226,31,NULL,NULL,NULL,NULL,600,NULL
227,32,NULL,NULL,NULL,NULL,606,NULL
228,33,NULL,NULL,NULL,NULL,608,NULL
229,34,NULL,NULL,NULL,NULL,609,NULL
230,35,NULL,NULL,NULL,NULL,610,NULL
231,36,NULL,NULL,NULL,NULL,611,NULL
232,122,NULL,NULL,NULL,NULL,613,NULL
233,123,NULL,NULL,NULL,NULL,615,NULL
234,124,NULL,NULL,NULL,NULL,616,NULL
235,125,NULL,NULL,NULL,NULL,617,NULL
236,126,NULL,NULL,NULL,NULL,618,NULL
237,127,NULL,NULL,NULL,NULL,619,NULL
238,128,NULL,NULL,NULL,NULL,621,NULL
239,129,NULL,NULL,NULL,NULL,622,NULL
240,130,NULL,NULL,NULL,NULL,623,NULL
241,131,NULL,NULL,NULL,NULL,624,NULL
242,132,NULL,NULL,NULL,NULL,626,NULL
243,133,NULL,NULL,NULL,NULL,627,NULL
244,134,NULL,NULL,NULL,NULL,629,NULL
245,135,NULL,NULL,NULL,NULL,631,NULL
246,136,NULL,NULL,NULL,NULL,632,NULL
247,37,NULL,NULL,NULL,NULL,635,NULL
248,38,NULL,NULL,NULL,NULL,636,NULL
249,39,NULL,NULL,NULL,NULL,637,NULL
250,40,NULL,NULL,NULL,NULL,638,NULL
251,41,NULL,NULL,NULL,NULL,639,NULL
252,42,NULL,NULL,NULL,NULL,641,NULL
253,43,NULL,NULL,NULL,NULL,642,NULL
254,44,NULL,NULL,NULL,NULL,643,NULL
255,45,NULL,NULL,NULL,NULL,644,NULL
256,46,NULL,NULL,NULL,NULL,645,NULL
257,47,NULL,NULL,NULL,NULL,646,NULL
258,48,NULL,NULL,NULL,NULL,647,NULL
259,49,NULL,NULL,NULL,NULL,648,NULL
260,50,NULL,NULL,NULL,NULL,649,NULL
261,51,NULL,NULL,NULL,NULL,650,NULL
262,52,NULL,NULL,NULL,NULL,651,NULL
263,53,NULL,NULL,NULL,NULL,652,NULL
264,54,NULL,NULL,NULL,NULL,653,NULL
265,55,NULL,NULL,NULL,NULL,654,NULL
266,56,NULL,NULL,NULL,NULL,656,NULL
267,57,NULL,NULL,NULL,NULL,657,NULL
268,58,NULL,NULL,NULL,NULL,658,NULL
269,59,NULL,NULL,NULL,NULL,659,NULL
270,60,NULL,NULL,NULL,NULL,660,NULL
271,73,NULL,NULL,NULL,NULL,661,NULL
272,74,NULL,NULL,NULL,NULL,666,NULL
273,75,NULL,NULL,NULL,NULL,667,NULL
274,76,NULL,NULL,NULL,NULL,668,NULL
275,77,NULL,NULL,NULL,NULL,670,NULL
276,78,NULL,NULL,NULL,NULL,671,NULL
277,7,NULL,NULL,NULL,NULL,672,NULL
278,79,NULL,NULL,NULL,NULL,691,NULL
279,80,NULL,NULL,NULL,NULL,692,NULL
280,81,NULL,NULL,NULL,NULL,694,NULL
281,82,NULL,NULL,NULL,NULL,695,NULL
282,83,NULL,NULL,NULL,NULL,696,NULL
283,84,NULL,NULL,NULL,NULL,697,NULL
284,8,NULL,NULL,NULL,NULL,699,NULL
285,85,NULL,NULL,NULL,NULL,712,NULL
286,86,NULL,NULL,NULL,NULL,713,NULL
287,87,NULL,NULL,NULL,NULL,714,NULL
288,88,NULL,NULL,NULL,NULL,715,NULL
289,89,NULL,NULL,NULL,NULL,717,NULL
290,90,NULL,NULL,NULL,NULL,718,NULL
291,10,NULL,NULL,NULL,NULL,719,NULL
292,5,NULL,NULL,NULL,NULL,731,NULL
293,91,NULL,NULL,NULL,NULL,736,NULL
294,92,NULL,NULL,NULL,NULL,737,NULL
295,93,NULL,NULL,NULL,NULL,739,NULL
296,94,NULL,NULL,NULL,NULL,740,NULL
297,95,NULL,NULL,NULL,NULL,741,NULL
298,96,NULL,NULL,NULL,NULL,742,NULL
299,3,NULL,NULL,NULL,NULL,744,NULL
300,3,NULL,NULL,NULL,NULL,761,NULL
301,97,NULL,NULL,NULL,NULL,773,NULL
302,98,NULL,NULL,NULL,NULL,774,NULL
303,99,NULL,NULL,NULL,NULL,775,NULL
304,100,NULL,NULL,NULL,NULL,776,NULL
305,101,NULL,NULL,NULL,NULL,778,NULL
306,102,NULL,NULL,NULL,NULL,779,NULL
307,1,NULL,NULL,NULL,NULL,780,NULL
308,2,NULL,NULL,NULL,NULL,794,NULL
309,6,NULL,NULL,NULL,NULL,806,NULL
310,103,NULL,NULL,NULL,NULL,807,NULL
311,104,NULL,NULL,NULL,NULL,810,NULL
312,105,NULL,NULL,NULL,NULL,811,NULL
313,106,NULL,NULL,NULL,NULL,812,NULL
314,107,NULL,NULL,NULL,NULL,813,NULL
315,108,NULL,NULL,NULL,NULL,814,NULL
316,37,NULL,NULL,NULL,NULL,816,NULL
317,38,NULL,NULL,NULL,NULL,822,NULL
318,39,NULL,NULL,NULL,NULL,823,NULL
319,40,NULL,NULL,NULL,NULL,825,NULL
320,42,NULL,NULL,NULL,NULL,826,NULL
321,44,NULL,NULL,NULL,NULL,830,NULL
322,43,NULL,NULL,NULL,NULL,834,NULL
323,41,NULL,NULL,NULL,NULL,838,NULL
324,45,NULL,NULL,NULL,NULL,841,NULL
325,46,NULL,NULL,NULL,NULL,844,NULL
326,47,NULL,NULL,NULL,NULL,845,NULL
327,48,NULL,NULL,NULL,NULL,846,NULL
328,50,NULL,NULL,NULL,NULL,848,NULL
329,54,NULL,NULL,NULL,NULL,850,NULL
330,53,NULL,NULL,NULL,NULL,854,NULL
331,59,NULL,NULL,NULL,NULL,857,NULL
332,60,NULL,NULL,NULL,NULL,859,NULL
333,64,NULL,NULL,NULL,NULL,860,NULL
334,62,NULL,NULL,NULL,NULL,861,NULL
335,49,NULL,NULL,NULL,NULL,862,NULL
336,56,NULL,NULL,NULL,NULL,863,NULL
337,55,NULL,NULL,NULL,NULL,867,NULL
338,58,NULL,NULL,NULL,NULL,870,NULL
339,68,NULL,NULL,NULL,NULL,872,NULL
340,67,NULL,NULL,NULL,NULL,874,NULL
341,57,NULL,NULL,NULL,NULL,875,NULL
342,66,NULL,NULL,NULL,NULL,876,NULL
343,63,NULL,NULL,NULL,NULL,877,NULL
344,65,NULL,NULL,NULL,NULL,880,NULL
345,69,NULL,NULL,NULL,NULL,881,NULL
346,51,NULL,NULL,NULL,NULL,883,NULL
347,52,NULL,NULL,NULL,NULL,885,NULL
348,61,NULL,NULL,NULL,NULL,887,NULL
349,70,NULL,NULL,NULL,NULL,889,NULL
350,71,NULL,NULL,NULL,NULL,890,NULL
351,72,NULL,NULL,NULL,NULL,891,NULL
352,73,NULL,NULL,NULL,NULL,892,NULL
353,74,NULL,NULL,NULL,NULL,893,NULL
354,75,NULL,NULL,NULL,NULL,895,NULL
355,76,NULL,NULL,NULL,NULL,896,NULL
356,77,NULL,NULL,NULL,NULL,897,NULL
357,90,NULL,NULL,NULL,NULL,898,NULL
358,99,NULL,NULL,NULL,NULL,899,NULL
359,86,NULL,NULL,NULL,NULL,900,NULL
360,78,NULL,NULL,NULL,NULL,901,NULL
361,81,NULL,NULL,NULL,NULL,902,NULL
362,85,NULL,NULL,NULL,NULL,903,NULL
363,102,NULL,NULL,NULL,NULL,904,NULL
364,93,NULL,NULL,NULL,NULL,905,NULL
365,96,NULL,NULL,NULL,NULL,906,NULL
366,91,NULL,NULL,NULL,NULL,907,NULL
367,80,NULL,NULL,NULL,NULL,908,NULL
368,100,NULL,NULL,NULL,NULL,909,NULL
369,82,NULL,NULL,NULL,NULL,910,NULL
370,101,NULL,NULL,NULL,NULL,911,NULL
371,97,NULL,NULL,NULL,NULL,912,NULL
372,83,NULL,NULL,NULL,NULL,913,NULL
373,89,NULL,NULL,NULL,NULL,914,NULL
374,94,NULL,NULL,NULL,NULL,915,NULL
375,95,NULL,NULL,NULL,NULL,916,NULL
376,84,NULL,NULL,NULL,NULL,917,NULL
377,87,NULL,NULL,NULL,NULL,918,NULL
378,98,NULL,NULL,NULL,NULL,919,NULL
379,79,NULL,NULL,NULL,NULL,920,NULL
380,92,NULL,NULL,NULL,NULL,921,NULL
381,88,NULL,NULL,NULL,NULL,922,NULL
382,106,NULL,NULL,NULL,NULL,923,NULL
383,103,NULL,NULL,NULL,NULL,924,NULL
384,107,NULL,NULL,NULL,NULL,925,NULL
385,108,NULL,NULL,NULL,NULL,926,NULL
386,104,NULL,NULL,NULL,NULL,927,NULL
387,105,NULL,NULL,NULL,NULL,928,NULL
388,109,NULL,NULL,NULL,NULL,929,NULL
389,110,NULL,NULL,NULL,NULL,930,NULL
390,123,NULL,NULL,NULL,NULL,931,NULL
391,128,NULL,NULL,NULL,NULL,932,NULL
392,114,NULL,NULL,NULL,NULL,933,NULL
393,127,NULL,NULL,NULL,NULL,934,NULL
394,117,NULL,NULL,NULL,NULL,935,NULL
395,124,NULL,NULL,NULL,NULL,936,NULL
396,116,NULL,NULL,NULL,NULL,937,NULL
397,132,NULL,NULL,NULL,NULL,938,NULL
398,122,NULL,NULL,NULL,NULL,939,NULL
399,131,NULL,NULL,NULL,NULL,940,NULL
400,119,NULL,NULL,NULL,NULL,941,NULL
401,136,NULL,NULL,NULL,NULL,942,NULL
402,135,NULL,NULL,NULL,NULL,943,NULL
403,130,NULL,NULL,NULL,NULL,944,NULL
404,113,NULL,NULL,NULL,NULL,945,NULL
405,129,NULL,NULL,NULL,NULL,946,NULL
406,126,NULL,NULL,NULL,NULL,947,NULL
407,118,NULL,NULL,NULL,NULL,948,NULL
408,125,NULL,NULL,NULL,NULL,949,NULL
409,112,NULL,NULL,NULL,NULL,950,NULL
410,121,NULL,NULL,NULL,NULL,951,NULL
411,120,NULL,NULL,NULL,NULL,952,NULL
412,134,NULL,NULL,NULL,NULL,953,NULL
413,115,NULL,NULL,NULL,NULL,954,NULL
414,133,NULL,NULL,NULL,NULL,955,NULL
415,143,NULL,NULL,NULL,NULL,956,NULL
416,141,NULL,NULL,NULL,NULL,957,NULL
417,144,NULL,NULL,NULL,NULL,958,NULL
418,140,NULL,NULL,NULL,NULL,959,NULL
419,142,NULL,NULL,NULL,NULL,960,NULL
420,137,NULL,NULL,NULL,NULL,961,NULL
421,138,NULL,NULL,NULL,NULL,962,NULL
422,139,NULL,NULL,NULL,NULL,963,NULL
423,5,NULL,NULL,NULL,NULL,964,NULL
424,7,NULL,NULL,NULL,NULL,968,NULL
425,4,NULL,NULL,NULL,NULL,972,NULL
426,6,NULL,NULL,NULL,NULL,974,NULL
427,2,NULL,NULL,NULL,NULL,975,NULL
428,3,NULL,NULL,NULL,NULL,977,NULL
429,11,NULL,NULL,NULL,NULL,981,NULL
430,20,NULL,NULL,NULL,NULL,984,NULL
431,19,NULL,NULL,NULL,NULL,986,NULL
432,15,NULL,NULL,NULL,NULL,988,NULL
433,16,NULL,NULL,NULL,NULL,990,NULL
434,17,NULL,NULL,NULL,NULL,991,NULL
435,21,NULL,NULL,NULL,NULL,992,NULL
436,22,NULL,NULL,NULL,NULL,996,NULL
437,18,NULL,NULL,NULL,NULL,998,NULL
438,14,NULL,NULL,NULL,NULL,1000,NULL
439,9,NULL,NULL,NULL,NULL,1001,NULL
440,10,NULL,NULL,NULL,NULL,1002,NULL
441,13,NULL,NULL,NULL,NULL,1005,NULL
442,12,NULL,NULL,NULL,NULL,1009,NULL
443,24,NULL,NULL,NULL,NULL,1013,NULL
444,28,NULL,NULL,NULL,NULL,1014,NULL
445,26,NULL,NULL,NULL,NULL,1015,NULL
446,25,NULL,NULL,NULL,NULL,1016,NULL
447,23,NULL,NULL,NULL,NULL,1017,NULL
448,29,NULL,NULL,NULL,NULL,1018,NULL
449,27,NULL,NULL,NULL,NULL,1020,NULL
450,35,NULL,NULL,NULL,NULL,1024,NULL
451,39,NULL,NULL,NULL,NULL,1026,NULL
452,43,NULL,NULL,NULL,NULL,1027,NULL
453,36,NULL,NULL,NULL,NULL,1028,NULL
454,33,NULL,NULL,NULL,NULL,1029,NULL
455,38,NULL,NULL,NULL,NULL,1030,NULL
456,31,NULL,NULL,NULL,NULL,1031,NULL
457,41,NULL,NULL,NULL,NULL,1032,NULL
458,42,NULL,NULL,NULL,NULL,1033,NULL
459,32,NULL,NULL,NULL,NULL,1034,NULL
460,30,NULL,NULL,NULL,NULL,1035,NULL
461,40,NULL,NULL,NULL,NULL,1036,NULL
462,34,NULL,NULL,NULL,NULL,1037,NULL
463,44,NULL,NULL,NULL,NULL,1038,NULL
464,37,NULL,NULL,NULL,NULL,1039,NULL
465,48,NULL,NULL,NULL,NULL,1040,NULL
466,47,NULL,NULL,NULL,NULL,1041,NULL
467,49,NULL,NULL,NULL,NULL,1042,NULL
468,51,NULL,NULL,NULL,NULL,1043,NULL
469,50,NULL,NULL,NULL,NULL,1044,NULL
470,46,NULL,NULL,NULL,NULL,1046,NULL
471,60,NULL,NULL,NULL,NULL,1047,NULL
472,55,NULL,NULL,NULL,NULL,1048,NULL
473,53,NULL,NULL,NULL,NULL,1049,NULL
474,59,NULL,NULL,NULL,NULL,1050,NULL
475,57,NULL,NULL,NULL,NULL,1051,NULL
476,61,NULL,NULL,NULL,NULL,1052,NULL
477,54,NULL,NULL,NULL,NULL,1053,NULL
478,64,NULL,NULL,NULL,NULL,1054,NULL
479,56,NULL,NULL,NULL,NULL,1055,NULL
480,65,NULL,NULL,NULL,NULL,1056,NULL
481,58,NULL,NULL,NULL,NULL,1057,NULL
482,66,NULL,NULL,NULL,NULL,1058,NULL
483,52,NULL,NULL,NULL,NULL,1059,NULL
484,63,NULL,NULL,NULL,NULL,1060,NULL
485,62,NULL,NULL,NULL,NULL,1061,NULL
486,69,NULL,NULL,NULL,NULL,1062,NULL
487,71,NULL,NULL,NULL,NULL,1063,NULL
488,68,NULL,NULL,NULL,NULL,1064,NULL
489,70,NULL,NULL,NULL,NULL,1065,NULL
490,73,NULL,NULL,NULL,NULL,1066,NULL
491,72,NULL,NULL,NULL,NULL,1067,NULL
492,86,NULL,NULL,NULL,NULL,1068,NULL
493,87,NULL,NULL,NULL,NULL,1069,NULL
494,88,NULL,NULL,NULL,NULL,1070,NULL
495,76,NULL,NULL,NULL,NULL,1071,NULL
496,83,NULL,NULL,NULL,NULL,1072,NULL
497,74,NULL,NULL,NULL,NULL,1073,NULL
498,84,NULL,NULL,NULL,NULL,1074,NULL
499,85,NULL,NULL,NULL,NULL,1075,NULL
500,75,NULL,NULL,NULL,NULL,1076,NULL
501,82,NULL,NULL,NULL,NULL,1077,NULL
502,80,NULL,NULL,NULL,NULL,1078,NULL
503,78,NULL,NULL,NULL,NULL,1079,NULL
504,79,NULL,NULL,NULL,NULL,1080,NULL
505,77,NULL,NULL,NULL,NULL,1081,NULL
506,81,NULL,NULL,NULL,NULL,1082,NULL
507,90,NULL,NULL,NULL,NULL,1083,NULL
508,91,NULL,NULL,NULL,NULL,1084,NULL
509,93,NULL,NULL,NULL,NULL,1085,NULL
510,92,NULL,NULL,NULL,NULL,1086,NULL
511,95,NULL,NULL,NULL,NULL,1087,NULL
512,94,NULL,NULL,NULL,NULL,1088,NULL
513,97,NULL,NULL,NULL,NULL,1089,NULL
514,99,NULL,NULL,NULL,NULL,1090,NULL
515,105,NULL,NULL,NULL,NULL,1091,NULL
516,96,NULL,NULL,NULL,NULL,1092,NULL
517,102,NULL,NULL,NULL,NULL,1093,NULL
518,106,NULL,NULL,NULL,NULL,1094,NULL
519,108,NULL,NULL,NULL,NULL,1095,NULL
520,98,NULL,NULL,NULL,NULL,1096,NULL
521,104,NULL,NULL,NULL,NULL,1097,NULL
522,107,NULL,NULL,NULL,NULL,1098,NULL
523,103,NULL,NULL,NULL,NULL,1099,NULL
524,100,NULL,NULL,NULL,NULL,1100,NULL
525,109,NULL,NULL,NULL,NULL,1101,NULL
526,110,NULL,NULL,NULL,NULL,1102,NULL
527,101,NULL,NULL,NULL,NULL,1103,NULL
528,114,NULL,NULL,NULL,NULL,1104,NULL
529,118,NULL,NULL,NULL,NULL,1105,NULL
530,112,NULL,NULL,NULL,NULL,1106,NULL
531,116,NULL,NULL,NULL,NULL,1107,NULL
532,113,NULL,NULL,NULL,NULL,1108,NULL
